iter	Passed	Remaining
246	648	1978
247	651	1976
248	654	1973
249	656	1969
250	658	1965
251	660	1960
252	662	1956
253	665	1955
254	667	1950
255	669	1946
256	671	1941
257	673	1937
258	675	1933
259	677	1929
260	679	1924
261	681	1920
262	684	1917
263	686	1912
264	687	1908
265	689	1903
266	691	1899
267	694	1895
268	696	1891
269	698	1887
270	700	1883
271	702	1879
272	704	1875
273	706	1870
274	708	1866
275	710	1863
276	712	1858
277	714	1854
278	715	1850
279	718	1848
280	720	1844
281	722	1840
282	724	1835
283	726	1832
284	729	1829
285	730	1824
286	732	1819
287	733	1814
288	735	1809
289	737	1805
290	739	1802
291	743	1801
292	745	1798
293	746	1793
294	748	1789
295	750	1784
296	751	1779
297	753	1774
298	754	1769
299	757	1766
300	758	1762
301	760	1758
302	762	1753
303	763	1749
304	766	1745
305	768	1743
306	770	1738
307	772	1735
308	774	1731
309	776	1727
310	778	1723
311	779	1719
312	781	1715
313	783	1711
314	785	1708
315	787	1704
316	789	1700
317	791	1696
318	792	1692
319	794	1688
320	796	1684
321	798	1680
322	800	1676
323	801	1672
324	803	1669
325	805	1665
326	807	1661
327	809	1657
328	811	1654
329	812	1650
330	814	1647
331	816	1643
332	818	1639
333	820	1636
334	822	1632
335	824	1628
336	825	1624
337	827	1620
338	829	1616
339	830	1612
340	832	1609
341	834	1605
342	836	1602
343	838	1599
344	840	1595
345	841	1591
346	843	1588
347	845	1584
348	847	1581
349	849	1577
350	851	1573
351	853	1570
352	855	1567
353	856	1563
354	859	1561
355	861	1557
356	863	1554
357	865	1551
358	867	1548
359	869	1544
360	870	1541
361	872	1538
362	874	1534
363	876	1531
364	878	1527
365	880	1524
366	882	1521
367	883	1517
368	885	1514
369	887	1510
370	888	1506
371	890	1503
372	892	1500
373	894	1496
374	896	1494
375	898	1490
376	899	1487
377	901	1483
378	903	1480
379	905	1476
380	907	1473
381	908	1470
382	910	1466
383	912	1463
384	914	1460
385	916	1457
386	917	1453
387	919	1449
388	920	1446
389	922	1442
390	924	1439
391	925	1435
392	927	1432
393	929	1429
394	930	1425
395	932	1422
396	934	1418
397	935	1415
398	937	1411
399	938	1408
400	940	1404
401	942	1401
402	943	1397
403	945	1394
404	946	1390
405	948	1387
406	950	1384
407	951	1381
408	953	1378
409	955	1374
410	957	1371
411	958	1368
412	960	1364
413	961	1361
414	963	1358
415	965	1355
416	967	1352
417	968	1348
418	970	1345
419	971	1342
420	973	1338
421	974	1335
422	976	1332
423	978	1328
424	980	1325
425	981	1322
426	983	1319
427	984	1316
428	986	1312
429	987	1309
430	989	1306
431	991	1303
432	992	1299
433	994	1296
434	995	1293
435	997	1290
436	999	1287
437	1000	1284
438	1002	1280
439	1003	1277
440	1005	1274
441	1007	1271
442	1008	1268
443	1010	1264
444	1011	1261
445	1013	1258
446	1014	1255
447	1016	1252
448	1017	1249
449	1019	1245
450	1020	1242
451	1022	1239
452	1024	1236
453	1025	1233
454	1026	1230
455	1028	1226
456	1030	1223
457	1031	1220
458	1032	1217
459	1034	1214
460	1036	1211
461	1037	1208
462	1039	1205
463	1041	1202
464	1042	1199
465	1044	1196
466	1046	1193
467	1047	1191
468	1049	1188
469	1051	1185
470	1052	1182
471	1054	1179
472	1055	1176
473	1057	1173
474	1058	1169
475	1060	1167
476	1061	1164
477	1063	1161
478	1065	1158
479	1066	1155
480	1068	1152
481	1069	1149
482	1071	1146
483	1072	1143
484	1074	1140
485	1075	1137
486	1077	1135
487	1079	1132
488	1080	1129
489	1082	1126
490	1084	1123
491	1085	1121
492	1087	1118
493	1089	1115
494	1090	1112
495	1092	1110
496	1093	1107
497	1095	1104
498	1096	1101
499	1098	1098
500	1099	1095
501	1101	1092
502	1102	1089
503	1104	1086
504	1105	1083
505	1107	1081
506	1109	1078
507	1110	1075
508	1112	1072
509	1113	1070
510	1115	1067
511	1116	1064
512	1118	1061
513	1119	1058
514	1121	1056
515	1123	1053
516	1124	1050
517	1126	1047
518	1127	1045
519	1129	1042
520	1130	1039
521	1132	1036
522	1133	1033
523	1135	1031
524	1136	1028
525	1138	1025
526	1139	1023
527	1141	1020
528	1143	1018
529	1145	1015
530	1147	1013
531	1148	1010
532	1150	1007
533	1152	1005
534	1153	1002
535	1155	1000
536	1156	997
537	1158	994
538	1160	992
539	1161	989
540	1163	986
541	1164	984
542	1166	981
543	1167	978
544	1169	976
545	1170	973
546	1172	971
547	1174	968
548	1175	965
549	1177	963
550	1179	961
551	1181	958
552	1182	956
553	1184	953
554	1186	951
555	1188	948
556	1189	946
557	1191	943
558	1192	940
559	1194	938
560	1196	935
561	1197	933
562	1199	930
563	1201	928
564	1202	925
565	1204	923
566	1205	920
567	1207	918
568	1208	915
569	1210	913
570	1212	910
571	1213	908
572	1215	905
573	1217	903
574	1218	900
575	1220	898
576	1221	895
577	1223	893
578	1225	890
579	1226	888
580	1228	885
581	1229	883
582	1231	880
583	1233	878
584	1234	875
585	1236	873
586	1238	871
587	1240	869
588	1242	867
589	1244	864
590	1246	862
591	1247	860
592	1249	857
593	1250	855
594	1252	852
595	1254	850
596	1255	847
597	1257	845
598	1259	842
599	1260	840
600	1262	837
601	1263	835
602	1265	832
603	1266	830
604	1268	828
605	1270	825
606	1271	823
607	1273	820
608	1274	818
609	1276	816
610	1277	813
611	1279	811
612	1281	808
613	1282	806
614	1284	803
615	1285	801
616	1287	798
617	1288	796
618	1290	794
619	1292	791
620	1293	789
621	1295	787
622	1296	784
623	1298	782
624	1300	780
625	1301	777
626	1303	775
627	1305	773
628	1307	771
629	1309	768
630	1310	766
631	1312	764
632	1313	761
633	1315	759
634	1317	757
635	1319	755
636	1320	752
637	1322	750
638	1324	748
639	1326	746
640	1327	743
641	1329	741
642	1330	738
643	1332	736
644	1334	734
645	1335	731
646	1338	730
647	1339	727
648	1341	725
649	1344	723
650	1345	721
651	1347	719
652	1349	717
653	1351	714
654	1353	712
655	1355	710
656	1358	708
657	1359	706
658	1361	704
659	1362	702
660	1364	699
661	1366	697
662	1368	695
663	1369	692
664	1370	690
665	1372	688
666	1374	686
667	1375	683
668	1377	681
669	1379	679
670	1380	677
671	1382	674
672	1384	672
673	1385	670
674	1387	668
675	1389	665
676	1390	663
677	1392	661
678	1393	658
679	1395	656
680	1397	654
681	1399	652
682	1400	649
683	1401	647
684	1403	645
685	1404	643
686	1406	640
687	1408	638
688	1410	636
689	1411	634
690	1413	632
691	1415	629
692	1416	627
693	1418	625
694	1420	623
695	1421	620
696	1423	618
697	1425	616
698	1427	614
699	1429	612
700	1432	610
701	1433	608
702	1436	606
703	1438	604
704	1440	602
705	1442	600
706	1444	598
707	1446	596
708	1448	594
709	1449	592
710	1451	589
711	1453	587
712	1455	585
713	1456	583
714	1458	581
715	1459	579
716	1461	576
717	1462	574
718	1464	572
719	1466	570
720	1467	568
721	1469	565
722	1471	563
723	1473	561
724	1474	559
725	1477	557
726	1478	555
727	1480	553
728	1481	550
729	1483	548
730	1485	546
731	1487	544
732	1488	542
733	1490	540
734	1492	537
735	1494	536
736	1496	533
737	1498	531
738	1500	529
739	1502	527
740	1504	525
741	1505	523
742	1506	521
743	1508	518
744	1509	516
745	1511	514
746	1513	512
747	1514	510
748	1516	508
749	1518	506
750	1520	504
751	1522	501
752	1523	499
753	1526	497
754	1527	495
755	1529	493
756	1531	491
757	1532	489
758	1534	487
759	1536	485
760	1538	483
761	1539	480
762	1541	478
763	1542	476
764	1544	474
765	1546	472
766	1547	470
767	1549	468
768	1551	465
769	1552	463
770	1554	461
771	1556	459
772	1557	457
773	1559	455
774	1560	453
775	1562	451
776	1564	448
777	1565	446
778	1567	444
779	1569	442
780	1570	440
781	1572	438
782	1574	436
783	1575	434
784	1576	431
785	1579	429
786	1580	427
787	1582	425
788	1584	423
789	1585	421
790	1587	419
791	1588	417
792	1590	415
793	1592	413
794	1594	411
795	1595	408
796	1597	406
797	1599	404
798	1601	402
799	1603	400
800	1605	398
801	1607	396
802	1609	394
803	1611	392
804	1613	390
805	1615	388
806	1617	386
807	1618	384
808	1620	382
809	1622	380
810	1624	378
811	1626	376
812	1627	374
813	1629	372
814	1632	370
815	1633	368
816	1635	366
817	1637	364
818	1638	362
819	1640	360
820	1642	358
821	1644	356
822	1646	354
823	1648	352
824	1649	349
825	1651	347
826	1653	345
827	1654	343
828	1657	341
829	1658	339
830	1660	337
831	1662	335
832	1663	333
833	1665	331
834	1667	329
835	1669	327
836	1670	325
837	1672	323
838	1674	321
839	1675	319
840	1677	317
841	1679	315
842	1681	313
843	1683	311
844	1684	309
845	1686	307
846	1689	305
847	1691	303
848	1693	301
849	1695	299
850	1696	297
851	1698	295
852	1700	293
853	1702	290
854	1704	288
855	1705	286
856	1707	284
857	1709	282
858	1711	280
859	1712	278
860	1714	276
861	1716	274
862	1718	272
863	1719	270
864	1721	268
865	1723	266
866	1725	264
867	1726	262
868	1728	260
869	1729	258
870	1731	256
871	1733	254
872	1735	252
873	1736	250
874	1739	248
875	1740	246
876	1742	244
877	1744	242
878	1746	240
879	1748	238
880	1749	236
881	1751	234
882	1753	232
883	1755	230
884	1756	228
885	1758	226
886	1760	224
887	1762	222
888	1764	220
889	1765	218
890	1767	216
891	1769	214
892	1771	212
893	1772	210
894	1774	208
895	1776	206
896	1778	204
897	1780	202
898	1782	200
899	1784	198
900	1785	196
901	1787	194
902	1789	192
903	1790	190
904	1792	188
905	1794	186
906	1795	184
907	1797	182
908	1799	180
909	1800	178
910	1802	176
911	1804	174
912	1805	172
913	1807	170
914	1809	168
915	1811	166
916	1813	164
917	1814	162
918	1816	160
919	1818	158
920	1820	156
921	1822	154
922	1823	152
923	1825	150
924	1826	148
925	1828	146
926	1830	144
927	1831	142
928	1833	140
929	1834	138
930	1836	136
931	1837	134
932	1839	132
933	1841	130
934	1842	128
935	1844	126
936	1846	124
937	1847	122
938	1849	120
939	1851	118
940	1853	116
941	1855	114
942	1856	112
943	1858	110
944	1860	108
945	1862	106
946	1864	104
947	1866	102
948	1867	100
949	1869	98
950	1871	96
951	1872	94
952	1874	92
953	1876	90
954	1877	88
955	1879	86
956	1881	84
957	1882	82
958	1884	80
959	1885	78
960	1887	76
961	1889	74
962	1890	72
963	1892	70
964	1894	68
965	1895	66
966	1897	64
967	1899	62
968	1901	60
969	1902	58
970	1904	56
971	1905	54
972	1907	52
973	1909	50
974	1910	48
975	1912	47
976	1913	45
977	1915	43
978	1917	41
979	1919	39
980	1920	37
981	1922	35
982	1923	33
983	1924	31
984	1926	29
985	1927	27
986	1929	25
987	1930	23
988	1932	21
989	1934	19
990	1935	17
991	1937	15
992	1939	13
993	1940	11
994	1942	9
995	1943	7
996	1945	5
997	1947	3
998	1948	1
999	1950	0
