iter	Logloss
0	0.6456399551
1	0.61224399
2	0.581947547
3	0.5598552923
4	0.5424797517
5	0.5253226222
6	0.5164929868
7	0.5061845498
8	0.4996377941
9	0.4891595118
10	0.4813108803
11	0.4778087603
12	0.4717050386
13	0.4681769082
14	0.4652975459
15	0.4602143976
16	0.4583501944
17	0.4556276835
18	0.4524182282
19	0.4504913993
20	0.4489857799
21	0.4475832157
22	0.4466478406
23	0.443060905
24	0.4393810322
25	0.4381327472
26	0.4366804347
27	0.4356076334
28	0.434586462
29	0.4330333711
30	0.4312752098
31	0.4299375577
32	0.4291546775
33	0.4282251813
34	0.4272416004
35	0.4266147348
36	0.42608822
37	0.4252944997
38	0.4236679778
39	0.4227826509
40	0.4217581249
41	0.4211802024
42	0.4205452974
43	0.4195265178
44	0.418920415
45	0.4175124064
46	0.4159437349
47	0.4156086833
48	0.4150483637
49	0.4143459302
50	0.4138435981
51	0.4135332501
52	0.4123532957
53	0.4117385548
54	0.4112655014
55	0.4107728829
56	0.409993496
57	0.4095966312
58	0.4083069691
59	0.4077119787
60	0.4069038792
61	0.4059911821
62	0.4054256968
63	0.4049965602
64	0.4046267342
65	0.4041287314
66	0.4036970206
67	0.4030788722
68	0.4024304353
69	0.401927199
70	0.4014014842
71	0.4011100695
72	0.4006830755
73	0.4003013206
74	0.4000820196
75	0.399462916
76	0.3990452361
77	0.3984273133
78	0.3980615699
79	0.3976329677
80	0.3967964293
81	0.3965828697
82	0.3959253867
83	0.3957233352
84	0.3953360195
85	0.3942679613
86	0.3938792311
87	0.3935619051
88	0.3931123796
89	0.3926561536
90	0.3923958177
91	0.3920746869
92	0.3917813749
93	0.3915421446
94	0.3912120101
95	0.3907952202
96	0.3903611185
97	0.3901297638
98	0.3895101008
99	0.3891963108
100	0.3889005242
101	0.3886670869
102	0.3882363945
103	0.3880258129
104	0.3870169211
105	0.3866109015
106	0.3859205836
107	0.3849535988
108	0.3846086673
109	0.384274363
110	0.3839478834
111	0.3833930149
112	0.383040692
113	0.3826785146
114	0.3820793351
115	0.381572726
116	0.3811201748
117	0.3808391771
118	0.3803668912
119	0.3800452596
120	0.3797090825
121	0.3788990854
122	0.3784961372
123	0.3781066549
124	0.3777476593
125	0.3774241627
126	0.3770975892
127	0.3767979869
128	0.3761471798
129	0.3757388828
130	0.3751101802
131	0.3746475932
132	0.3736655657
133	0.3733299447
134	0.3728120259
135	0.372439094
136	0.3722080736
137	0.3718093088
138	0.3713940977
139	0.3702965318
140	0.3696756446
141	0.3692398646
142	0.3687529166
143	0.3680822247
144	0.3677306028
145	0.3674903121
146	0.3672336123
147	0.3669709428
148	0.3666388187
149	0.3659301729
150	0.3656072283
151	0.3653349603
152	0.3650395088
153	0.3645688009
154	0.3641311344
155	0.3637791002
156	0.3633561027
157	0.3626529718
158	0.3622864917
159	0.3617888209
160	0.3613659976
161	0.360940476
162	0.3607559181
163	0.3604953461
164	0.3603006527
165	0.3598993025
166	0.3595670954
167	0.3591826522
168	0.358782707
169	0.3582156246
170	0.3579408469
171	0.3576616794
172	0.3573755406
173	0.3569691482
174	0.3566188237
175	0.3563936197
176	0.3562695011
177	0.355975082
178	0.3556374581
179	0.355427333
180	0.355177748
181	0.3548157765
182	0.3545172448
183	0.354299652
184	0.3538639833
185	0.3533732147
186	0.3529943241
187	0.3526800319
188	0.3524529226
189	0.3520005092
190	0.3517950068
191	0.3516302336
192	0.3513273422
193	0.3510253478
194	0.3508164962
195	0.3505212709
196	0.350058746
197	0.3496850712
198	0.3494083324
199	0.3490481805
200	0.3486127872
201	0.348254746
202	0.3479019533
203	0.3475504726
204	0.3473274861
205	0.3469276462
206	0.3467658438
207	0.3461983493
208	0.3459734866
209	0.3455912504
210	0.3453084216
211	0.3449961946
212	0.3444827943
213	0.3440737028
214	0.3437696721
215	0.3435591294
216	0.3433385263
217	0.342976577
218	0.3426095952
219	0.3422697186
220	0.3421033358
221	0.3419425754
222	0.3417328329
223	0.3414448956
224	0.3411653838
225	0.3407539863
226	0.3403136544
227	0.3398945806
228	0.3395070106
229	0.3390911853
230	0.3385772695
231	0.3382628578
232	0.3380352559
233	0.3378582176
234	0.3374891739
235	0.3371977663
236	0.3369559141
237	0.336689049
238	0.3363508895
239	0.336128241
240	0.3359631865
241	0.335564069
242	0.3351301218
243	0.3349413748
244	0.3346258587
245	0.3343335796
246	0.3339193791
247	0.3337277699
248	0.3334284327
249	0.3331693038
250	0.3328174516
251	0.3325421251
252	0.3323561014
253	0.3321013971
254	0.3317328768
255	0.3313209174
256	0.3310623881
257	0.3308144527
258	0.3304124784
259	0.3300425886
260	0.329801828
261	0.3296520165
262	0.3292022338
263	0.3288624418
264	0.3285178215
265	0.3281215938
266	0.327798452
267	0.3276655688
268	0.3274736208
269	0.3272595481
270	0.3270121029
271	0.3265619871
272	0.3263453022
273	0.326034393
274	0.3258689367
275	0.3256898201
276	0.3255074604
277	0.3251711067
278	0.3249936405
279	0.3247679662
280	0.3245214725
281	0.3243000832
282	0.3240936204
283	0.3238179261
284	0.3236541408
285	0.3235121466
286	0.3233608872
287	0.3230312546
288	0.3228384744
289	0.3226791277
290	0.3225479515
291	0.3221982479
292	0.3220014691
293	0.321673113
294	0.3214495689
295	0.3212985497
296	0.3210611298
297	0.3208341619
298	0.3206496419
299	0.3204743593
300	0.3202081018
301	0.3199101852
302	0.3197573831
303	0.3195528307
304	0.3193589566
305	0.3191690391
306	0.3188916728
307	0.3186321755
308	0.3182605388
309	0.3181348845
310	0.3178967099
311	0.3176430688
312	0.3173287555
313	0.3170775123
314	0.3169064165
315	0.3166699092
316	0.3163030713
317	0.3160232309
318	0.3156648561
319	0.3154537826
320	0.315224707
321	0.3150975224
322	0.3147206786
323	0.3144436702
324	0.3141316182
325	0.3137676509
326	0.3135459754
327	0.313295888
328	0.313120929
329	0.3129683828
330	0.312759636
331	0.3125001919
332	0.311928386
333	0.3116985615
334	0.3113584499
335	0.3110170662
336	0.3107004042
337	0.3105250399
338	0.3101857717
339	0.3099791867
340	0.3096265693
341	0.3093934196
342	0.3091996551
343	0.3090093248
344	0.3089160595
345	0.3088163426
346	0.3085146081
347	0.3082071348
348	0.3079821058
349	0.3077436469
350	0.3075292865
351	0.3073060758
352	0.3069937665
353	0.3067743516
354	0.306636563
355	0.3065001832
356	0.3061470587
357	0.3059513944
358	0.3057697889
359	0.3055629541
360	0.3052921273
361	0.3051706441
362	0.3048983022
363	0.3046248056
364	0.304387148
365	0.3042036894
366	0.3040004097
367	0.3037957064
368	0.3035502832
369	0.3034091939
370	0.3030103055
371	0.3028385597
372	0.3025660957
373	0.3022989021
374	0.3020305993
375	0.3017845027
376	0.3016675014
377	0.3015368217
378	0.3012585632
379	0.3011218738
380	0.3009709598
381	0.3007911392
382	0.3006398748
383	0.3005215813
384	0.300394462
385	0.3001462821
386	0.2999865619
387	0.2998953527
388	0.2998027359
389	0.2996013447
390	0.2993304199
391	0.2991949887
392	0.2990329459
393	0.298863784
394	0.2986259623
395	0.2984573018
396	0.2983229035
397	0.2980676219
398	0.2976820793
399	0.2974177372
400	0.2972825194
401	0.297119652
402	0.2968524988
403	0.296724586
404	0.2966267087
405	0.2965197555
406	0.2963939426
407	0.2962186744
408	0.2960572563
409	0.2958231559
410	0.2954614067
411	0.2952466703
412	0.2950360005
413	0.2947552388
414	0.2945786165
415	0.2943419377
416	0.2942200682
417	0.2940362633
418	0.2937791767
419	0.293556976
420	0.2932495176
421	0.2930518109
422	0.2929333788
423	0.2927595363
424	0.2926199517
425	0.2924481476
426	0.292173383
427	0.2919548877
428	0.2918283178
429	0.2916012441
430	0.2914889194
431	0.291317732
432	0.2910566126
433	0.2909569413
434	0.2908495166
435	0.2907139144
436	0.2905697239
437	0.2903899048
438	0.2901323748
439	0.2900268827
440	0.2899200938
441	0.2897361526
442	0.2895052862
443	0.2893273207
444	0.2890331423
445	0.2887856119
446	0.2887010382
447	0.288449843
448	0.2881631702
449	0.2880408652
450	0.2878322762
451	0.2876437574
452	0.2874673589
453	0.2873610561
454	0.2871691589
455	0.2868891612
456	0.2866811583
457	0.2865063456
458	0.2862859232
459	0.286059678
460	0.2859717892
461	0.2858240463
462	0.2857262313
463	0.2854868549
464	0.285369153
465	0.2851753719
466	0.2851068514
467	0.285025539
468	0.2848931601
469	0.2847205523
470	0.2845814516
471	0.2843307126
472	0.2841632524
473	0.2840411456
474	0.2838207051
475	0.283613435
